Date,Close,High,Low,Open,Volume
2016-10-04 13:30:00,113.0,113.06,113.0,113.06,305803
2016-10-04 13:31:00,113.1601,113.4,113.01,113.03,355958
2016-10-04 13:32:00,113.54,113.57,113.125,113.16,329038
2016-10-04 13:33:00,113.6,113.8,113.47,113.54,385027
2016-10-04 13:34:00,113.44,113.6201,113.41,113.61,130703
2016-10-04 13:35:00,113.46,113.59,113.3599,113.43,147802
2016-10-04 13:36:00,113.59,113.64,113.44,113.4753,200715
2016-10-04 13:37:00,113.6536,113.7,113.54,113.6,191123
2016-10-04 13:38:00,113.7125,113.79,113.64,113.66,158447
2016-10-04 13:39:00,113.84,113.85,113.71,113.71,169192
2016-10-04 13:40:00,113.8386,113.86,113.71,113.835,181303
2016-10-04 13:41:00,113.93,113.95,113.82,113.8327,256079
2016-10-04 13:42:00,114.07,114.07,113.93,113.93,374085
2016-10-04 13:43:00,114.12,114.23,114.05,114.07,287709
2016-10-04 13:44:00,114.132,114.23,114.1,114.12,162606
2016-10-04 13:45:00,114.12,114.14,114.07,114.13,127461
2016-10-04 13:46:00,113.99,114.125,113.95,114.11,192781
2016-10-04 13:47:00,114.04,114.125,113.9902,114.0,145853
2016-10-04 13:48:00,114.0,114.05,113.87,114.04,218035
2016-10-04 13:49:00,114.1045,114.109,113.98,113.9941,104980
2016-10-04 13:50:00,114.16,114.17,114.09,114.0902,126634
2016-10-04 13:51:00,114.1735,114.2,114.129,114.1552,141030
2016-10-04 13:52:00,114.2805,114.2805,114.17,114.17,182289
2016-10-04 13:53:00,114.24,114.31,114.21,114.29,143972
2016-10-04 13:54:00,114.18,114.24,114.14,114.23,83132
2016-10-04 13:55:00,114.1335,114.21,114.09,114.19,97121
2016-10-04 13:56:00,114.165,114.18,114.07,114.1472,85920
2016-10-04 13:57:00,114.22,114.23,114.15,114.17,124749
2016-10-04 13:58:00,114.295,114.3,114.21,114.23,172035
2016-10-04 13:59:00,114.24,114.3,114.17,114.3,98604
2016-10-04 14:00:00,114.245,114.28,114.23,114.24,88298
2016-10-04 14:01:00,114.145,114.25,114.12,114.245,107669
2016-10-04 14:02:00,114.11,114.17,114.1,114.1407,93748
2016-10-04 14:03:00,114.12,114.16,114.1,114.11,64251
2016-10-04 14:04:00,114.189,114.19,114.12,114.12,54996
2016-10-04 14:05:00,114.18,114.19,114.12,114.19,38837
2016-10-04 14:06:00,114.19,114.2,114.155,114.18,93544
2016-10-04 14:07:00,114.02,114.23,114.01,114.195,200390
2016-10-04 14:08:00,114.02,114.065,113.99,114.0199,96591
2016-10-04 14:09:00,114.03,114.04,113.95,114.01,131423
2016-10-04 14:10:00,113.9893,114.065,113.97,114.02,112063
2016-10-04 14:11:00,113.91,114.04,113.91,113.99,91747
2016-10-04 14:12:00,113.88,113.95,113.84,113.91,168228
2016-10-04 14:13:00,113.76,113.88,113.71,113.88,172094
2016-10-04 14:14:00,113.772,113.83,113.73,113.75,89531
2016-10-04 14:15:00,113.78,113.87,113.76,113.7782,96871
2016-10-04 14:16:00,113.81,113.86,113.74,113.78,96718
2016-10-04 14:17:00,113.82,113.83,113.74,113.81,59855
2016-10-04 14:18:00,113.7841,113.82,113.76,113.82,39354
2016-10-04 14:19:00,113.79,113.81,113.74,113.78,65074
2016-10-04 14:20:00,113.83,113.85,113.79,113.79,96060
2016-10-04 14:21:00,113.8399,113.9,113.83,113.83,106596
2016-10-04 14:22:00,113.885,113.93,113.81,113.83,99249
2016-10-04 14:23:00,113.96,113.97,113.88,113.88,105188
2016-10-04 14:24:00,114.05,114.08,113.96,113.96,121077
2016-10-04 14:25:00,114.02,114.08,114.01,114.04,61463
2016-10-04 14:26:00,114.11,114.1337,114.025,114.03,91043
2016-10-04 14:27:00,114.23,114.233,113.96,114.12,175969
2016-10-04 14:28:00,114.16,114.22,114.14,114.22,110586
2016-10-04 14:29:00,114.129,114.179,114.09,114.16,62458
2016-10-04 14:30:00,114.15,114.18,114.115,114.12,56818
2016-10-04 14:31:00,114.13,114.17,114.11,114.1441,74934
2016-10-04 14:32:00,114.0972,114.13,114.04,114.13,69474
2016-10-04 14:33:00,114.06,114.1,114.034,114.09,42979
2016-10-04 14:34:00,114.0692,114.085,114.02,114.06,53870
2016-10-04 14:35:00,114.09,114.11,114.04,114.0699,61543
2016-10-04 14:36:00,114.09,114.11,114.08,114.091,22372
2016-10-04 14:37:00,114.07,114.12,114.055,114.11,64637
2016-10-04 14:38:00,114.0841,114.11,114.06,114.07,36725
2016-10-04 14:39:00,114.07,114.11,114.065,114.09,23046
2016-10-04 14:40:00,114.13,114.17,114.07,114.07,140760
2016-10-04 14:41:00,114.22,114.22,114.11,114.135,71513
2016-10-04 14:42:00,114.2315,114.25,114.195,114.22,146020
2016-10-04 14:43:00,114.25,114.28,114.24,114.25,84966
2016-10-04 14:44:00,114.16,114.3,114.155,114.25,144017
2016-10-04 14:45:00,114.17,114.19,114.141,114.16,70032
2016-10-04 14:46:00,114.1801,114.1956,114.16,114.1763,29303
2016-10-04 14:47:00,114.25,114.25,114.17,114.1848,67390
2016-10-04 14:48:00,114.2062,114.28,114.2,114.25,45194
2016-10-04 14:49:00,114.22,114.25,114.2,114.21,65041
2016-10-04 14:50:00,114.24,114.246,114.14,114.22,90246
2016-10-04 14:51:00,114.25,114.27,114.222,114.23,45472
2016-10-04 14:52:00,114.2137,114.29,114.2137,114.2447,50622
2016-10-04 14:53:00,114.2553,114.26,114.207,114.21,41895
2016-10-04 14:54:00,114.29,114.29,114.2,114.26,44746
2016-10-04 14:55:00,114.3,114.3,114.2601,114.28,62879
2016-10-04 14:56:00,114.24,114.295,114.21,114.29,72257
2016-10-04 14:57:00,114.2041,114.25,114.18,114.23,81357
2016-10-04 14:58:00,114.19,114.22,114.14,114.21,80359
2016-10-04 14:59:00,114.095,114.19,114.06,114.19,61633
2016-10-04 15:00:00,114.05,114.1089,114.02,114.0945,69372
2016-10-04 15:01:00,113.99,114.08,113.98,114.06,74893
2016-10-04 15:02:00,113.95,114.01,113.93,113.99,110132
2016-10-04 15:03:00,113.671,113.9601,113.6,113.9582,275606
2016-10-04 15:04:00,113.529,113.73,113.52,113.679,161094
2016-10-04 15:05:00,113.479,113.56,113.45,113.53,216936
2016-10-04 15:06:00,113.57,113.61,113.45,113.47,144790
2016-10-04 15:07:00,113.609,113.6385,113.525,113.5693,68953
2016-10-04 15:08:00,113.63,113.66,113.57,113.6099,91760
2016-10-04 15:09:00,113.64,113.685,113.62,113.64,82012
2016-10-04 15:10:00,113.69,113.7,113.64,113.64,66946
2016-10-04 15:11:00,113.58,113.7,113.5,113.7,134624
2016-10-04 15:12:00,113.63,113.645,113.58,113.58,42611
2016-10-04 15:13:00,113.6301,113.65,113.57,113.625,48856
2016-10-04 15:14:00,113.6601,113.6799,113.61,113.64,72381
2016-10-04 15:15:00,113.5601,113.655,113.56,113.655,41062
2016-10-04 15:16:00,113.459,113.565,113.4291,113.5637,131977
2016-10-04 15:17:00,113.465,113.4995,113.349,113.4538,144889
2016-10-04 15:18:00,113.54,113.57,113.44,113.46,62092
2016-10-04 15:19:00,113.575,113.61,113.52,113.53,58216
2016-10-04 15:20:00,113.6,113.69,113.56,113.575,105354
2016-10-04 15:21:00,113.58,113.6399,113.55,113.61,38660
2016-10-04 15:22:00,113.595,113.64,113.53,113.595,44162
2016-10-04 15:23:00,113.57,113.62,113.56,113.59,62091
2016-10-04 15:24:00,113.64,113.64,113.5,113.57,100773
2016-10-04 15:25:00,113.65,113.665,113.62,113.63,68729
2016-10-04 15:26:00,113.645,113.66,113.55,113.65,109219
2016-10-04 15:27:00,113.66,113.67,113.6,113.6462,36093
2016-10-04 15:28:00,113.66,113.72,113.605,113.67,49223
2016-10-04 15:29:00,113.66,113.7,113.6411,113.67,26505
2016-10-04 15:30:00,113.69,113.69,113.605,113.67,32791
2016-10-04 15:31:00,113.72,113.72,113.65,113.69,47412
2016-10-04 15:32:00,113.73,113.7699,113.69,113.72,49623
2016-10-04 15:33:00,113.61,113.7599,113.61,113.74,31571
2016-10-04 15:34:00,113.64,113.68,113.615,113.619,26589
2016-10-04 15:35:00,113.71,113.72,113.63,113.63,34714
2016-10-04 15:36:00,113.73,113.75,113.6869,113.71,32237
2016-10-04 15:37:00,113.76,113.78,113.71,113.74,54111
2016-10-04 15:38:00,113.8,113.85,113.755,113.76,92088
2016-10-04 15:39:00,113.79,113.89,113.79,113.82,78276
2016-10-04 15:40:00,113.59,113.81,113.55,113.8,99537
2016-10-04 15:41:00,113.66,113.715,113.57,113.58,74774
2016-10-04 15:42:00,113.5865,113.74,113.54,113.67,64185
2016-10-04 15:43:00,113.5834,113.68,113.56,113.6,87115
2016-10-04 15:44:00,113.596,113.6,113.46,113.59,62913
2016-10-04 15:45:00,113.57,113.6,113.51,113.58,44016
2016-10-04 15:46:00,113.68,113.68,113.545,113.57,48554
2016-10-04 15:47:00,113.63,113.68,113.58,113.68,39878
2016-10-04 15:48:00,113.575,113.63,113.48,113.63,46253
2016-10-04 15:49:00,113.59,113.61,113.505,113.56,43492
2016-10-04 15:50:00,113.6095,113.6599,113.56,113.585,37294
2016-10-04 15:51:00,113.57,113.59,113.51,113.59,61363
2016-10-04 15:52:00,113.62,113.67,113.55,113.56,43086
2016-10-04 15:53:00,113.55,113.6328,113.55,113.61,38492
2016-10-04 15:54:00,113.37,113.575,113.31,113.56,110650
2016-10-04 15:55:00,113.375,113.4352,113.36,113.37,83092
2016-10-04 15:56:00,113.42,113.45,113.33,113.3759,48882
2016-10-04 15:57:00,113.3635,113.455,113.31,113.4369,49972
2016-10-04 15:58:00,113.34,113.4201,113.33,113.36,62294
2016-10-04 15:59:00,113.345,113.4,113.32,113.35,28384
2016-10-04 16:00:00,113.35,113.42,113.31,113.345,59786
2016-10-04 16:01:00,113.435,113.44,113.34,113.34,52485
2016-10-04 16:02:00,113.38,113.44,113.36,113.44,43451
2016-10-04 16:03:00,113.31,113.39,113.2874,113.3737,60106
2016-10-04 16:04:00,113.2911,113.31,113.26,113.31,75686
2016-10-04 16:05:00,113.32,113.3221,113.24,113.29,99061
2016-10-04 16:06:00,113.39,113.405,113.33,113.33,63342
2016-10-04 16:07:00,113.29,113.405,113.28,113.39,38122
2016-10-04 16:08:00,113.35,113.35,113.29,113.3,43716
2016-10-04 16:09:00,113.25,113.35,113.25,113.35,31422
2016-10-04 16:10:00,113.3,113.31,113.2548,113.259,20577
2016-10-04 16:11:00,113.375,113.38,113.2663,113.31,35977
2016-10-04 16:12:00,113.27,113.38,113.27,113.38,27429
2016-10-04 16:13:00,113.25,113.3,113.25,113.2799,29054
2016-10-04 16:14:00,113.27,113.3,113.23,113.25,37625
2016-10-04 16:15:00,113.2935,113.3,113.26,113.275,40020
2016-10-04 16:16:00,113.37,113.38,113.2937,113.3,76413
2016-10-04 16:17:00,113.34,113.3685,113.31,113.36,65335
2016-10-04 16:18:00,113.34,113.3531,113.32,113.3463,28614
2016-10-04 16:19:00,113.34,113.35,113.27,113.33,42188
2016-10-04 16:20:00,113.4,113.47,113.34,113.34,88490
2016-10-04 16:21:00,113.34,113.44,113.34,113.4,37161
2016-10-04 16:22:00,113.3363,113.36,113.29,113.35,26224
2016-10-04 16:23:00,113.33,113.37,113.3101,113.34,30865
2016-10-04 16:24:00,113.34,113.3865,113.33,113.33,20016
2016-10-04 16:25:00,113.36,113.3623,113.315,113.33,26566
2016-10-04 16:26:00,113.3837,113.412,113.32,113.35,34266
2016-10-04 16:27:00,113.41,113.41,113.34,113.38,38331
2016-10-04 16:28:00,113.3963,113.419,113.37,113.41,19667
2016-10-04 16:29:00,113.35,113.43,113.34,113.39,37789
2016-10-04 16:30:00,113.365,113.365,113.34,113.35,10424
2016-10-04 16:31:00,113.32,113.3759,113.31,113.3759,49015
2016-10-04 16:32:00,113.36,113.38,113.27,113.33,57333
2016-10-04 16:33:00,113.39,113.4199,113.315,113.3501,37122
2016-10-04 16:34:00,113.37,113.4,113.33,113.39,57321
2016-10-04 16:35:00,113.38,113.38,113.34,113.36,24736
2016-10-04 16:36:00,113.33,113.38,113.32,113.38,45340
2016-10-04 16:37:00,113.3187,113.33,113.3,113.32,31281
2016-10-04 16:38:00,113.3427,113.35,113.31,113.31,20874
2016-10-04 16:39:00,113.47,113.52,113.32,113.33,159761
2016-10-04 16:40:00,113.44,113.5299,113.42,113.46,68143
2016-10-04 16:41:00,113.43,113.47,113.4,113.42,23358
2016-10-04 16:42:00,113.4601,113.47,113.41,113.44,31095
2016-10-04 16:43:00,113.47,113.5,113.44,113.47,31830
2016-10-04 16:44:00,113.4549,113.52,113.45,113.4786,62636
2016-10-04 16:45:00,113.46,113.4904,113.4537,113.46,40405
2016-10-04 16:46:00,113.43,113.49,113.4,113.46,44547
2016-10-04 16:47:00,113.47,113.49,113.44,113.44,27763
2016-10-04 16:48:00,113.41,113.47,113.41,113.46,31428
2016-10-04 16:49:00,113.39,113.43,113.3701,113.41,21048
2016-10-04 16:50:00,113.36,113.41,113.33,113.41,55541
2016-10-04 16:51:00,113.3747,113.3801,113.349,113.36,24923
2016-10-04 16:52:00,113.3,113.37,113.29,113.37,51499
2016-10-04 16:53:00,113.17,113.306,113.17,113.306,91165
2016-10-04 16:54:00,113.19,113.22,113.15,113.16,47046
2016-10-04 16:55:00,113.2263,113.249,113.18,113.18,55350
2016-10-04 16:56:00,113.17,113.25,113.17,113.24,26663
2016-10-04 16:57:00,113.185,113.205,113.16,113.17,17334
